start	end	text
0	2000	油管能听到吗
8000	10000	能听到吗油管的
10000	12000	YouTube大家能听懂吗
23000	25000	能听到能听到是吧
25000	27000	他这个切换的
27000	29000	我觉得YouTube有点
29000	30000	这个功能非常扭
30000	31000	挺好的
31000	33000	这样能保证咱们会员的权益
33000	35000	就是大陆货
35000	36000	大家都能听
36000	38000	但是到核心的东西
38000	41000	就是让咱们会员能听
41000	43000	让咱们会员能听
43000	44000	然后
45000	47000	这个也保证我的安全
47000	48000	所以我觉得
48000	51000	以后咱们很多直播就这样
51000	53000	讲着讲着咱就转到
53000	54000	会员直播
54000	55000	这样拍摄以后
55000	56000	如果是这种情况
56000	57000	我会提前预告
57000	58000	拍摄的会员
58000	60000	你们就一直用拍摄听
60000	61000	就不受影响
63000	65000	拍摄的平台不是很稳定
65000	66000	大家错误听一下
66000	68000	如果信号不好
68000	69000	可能是你VPN的问题
69000	71000	或者是你退出再进一下
75000	77000	接着讲他的第二级火箭
79000	80000	他发展到这个阶段
80000	83000	他就需要第二级火箭
83000	85000	他这个第二级火箭
85000	87000	大家需要满足什么条件
87000	88000	大家想想
88000	90000	第一个能全国调动他
90000	94000	能把他从长沙的书记
94000	95000	调到沈阳当书记
95000	97000	再调到江西当省长
97000	98000	在江西接了书记之后
98000	100000	能调到浙江当书记
100000	101000	所以这个人肯定是
101000	102000	最高层的关系
102000	103000	他能指挥
103000	104000	整个组织体系
104000	107000	是不是可以得到这个结乱
107000	108000	第二个就是
108000	110000	因为他最后
110000	112000	他当了江西的书记
112000	113000	而且最后
113000	115000	在浙江的书记退休
115000	116000	这个人
116000	117000	要得到习的认可
117000	119000	他能搞定习
119000	121000	因为老义没有跟习
121000	122000	直接共识过
122000	123000	习对他也不了解
123000	125000	推老义的这个人
125000	127000	肯定能搞定老习
127000	129000	能让老习认可他
129000	131000	大家想想是不是这个人
131000	132000	你说曾庆红李元朝
132000	133000	他都不行这个人
133000	134000	而且这个人
134000	135000	必须是新时代的
135000	136000	大家知道
136000	137000	因为老义的试图
137000	140000	是2017年开始启动的
140000	142000	他真正的到最后那段
142000	143000	奔跑的试图
143000	145000	是从2017年到2022年
145000	147000	到2024年这个期间
147000	149000	2017年大家想曾庆红李元朝
149000	151000	全部都下台了
151000	153000	这个都是旧时代的人
153000	155000	刘鹤大家想想
155000	156000	他不具备组第一条
156000	159000	他调动不了组织能力
159000	160000	是不是
160000	161000	他怎么能具备组织能力
161000	162000	还有第四条
162000	164000	就是有这种能力的人
164000	165000	很多
165000	166000	大家也数得着
166000	168000	但是老义得能给他
168000	169000	有渊源
169000	170000	能找得到
170000	171000	能建立联系
171000	173000	陈希是有这种能力的
173000	174000	但是老义怎么跟陈希
174000	176000	建立这个联系
176000	178000	陈希那时候还不是在党校
178000	180000	蔡奇在2022年
180000	181000	之前还没上台
181000	182000	只是在北京党书记
182000	183000	只是个政治局务员
183000	185000	没当书记是书记
185000	187000	所以蔡奇也不行
187000	188000	林大叔给他有什么冤冤
188000	190000	大家想想
190000	192000	是不是
192000	194000	有人答对了
194000	195000	我就说一下答案
195000	196000	给大家
196000	197000	大家注意
197000	198000	谢谢去废弧
198000	200000	这个人就是
200000	202000	咱们的大姐和大姐夫
202000	203000	你不要问我是哪个大姐
203000	205000	就是你的大姐和大姐夫
205000	206000	就是大姐夫
206000	208000	大姐两口子
208000	211000	是具备这种东西
211000	212000	当然你说远亲王也行
212000	213000	反正他们姐俩
213000	215000	也经常勾兑关系
215000	216000	为什么会他们
216000	217000	能建立这个联系
217000	219000	第一级和第二级火箭
219000	220000	是要有个天然
220000	221000	要有一定的联系
221000	222000	是最好的
222000	223000	这样别人不会骂你
223000	225000	背叛的第一级火箭
225000	228000	他们为什么老义
228000	231000	他能联系上大姐夫
231000	234000	首先毛家毛志勇
234000	235000	他跟习家
235000	236000	两个家族之间
236000	237000	就非常密切
237000	239000	为什么密切
239000	241000	就是大家查一下习仲勋
241000	242000	大家知道文革以后
242000	244000	习仲勋付出的第一份工作
244000	246000	是广东的省委书记
246000	248000	他到广东的时候
248000	249000	会发现广东那个时候
249000	251000	有一千万人挨饿
251000	254000	然后他马上就找到了
254000	256000	毛志勇
256000	257000	毛志勇在湖南那书记
257000	258000	大家知道广东的湖南
258000	259000	是挨着的
259000	260000	现在大家觉得
260000	261000	广东很发达
261000	263000	湖南很落后
263000	264000	那个时候
264000	266000	湖南比广东要好
266000	267000	所以习仲勋发现
267000	268000	广东这么多人挨饿之后
268000	269000	第一件事
269000	270000	抄起电话
270000	272000	就给毛志勇打电话
272000	273000	问毛志勇
273000	275000	问湖南的当时的书记
275000	276000	借粮
276000	278000	这个事情
278000	280000	就是习仲勋
280000	281000	虽然是公事
281000	282000	大家知道
282000	283000	谢谢Mess
283000	284000	虽然是公事
284000	286000	但是这是欠人情
286000	287000	大家知道吧
287000	288000	大家看过那个
288000	290000	大明王朝1566吧
290000	291000	1566一个
291000	292000	当时那个胡宗憲
292000	293000	为那个照什么
293000	294000	去借粮
294000	295000	大家记不记得
295000	296000	浙江这边快饿死人了
296000	298000	问那个照什么
298000	300000	去借粮
300000	302000	这个也是要耗个人人情的
302000	304000	要不然为什么给你
304000	306000	就证明习仲勋
306000	308000	跟毛志勇两个人
308000	309000	都是老革命
309000	310000	感情
310000	311000	就是赵真吉
311000	313000	说的大家记得
313000	315000	毛志勇跟习仲勋
315000	316000	第一是老朋友
316000	317000	要不然他不敢
317000	318000	拿起电话来就打
318000	319000	他为什么不问
319000	320000	边上问广西药呢
320000	321000	是不是
321000	322000	他俩很熟
322000	323000	第二个
323000	325000	这个事密切了他们的关系
325000	326000	而且这个习仲勋
326000	328000	欠了毛志勇一个人情
328000	330000	这个事情
330000	333000	大家去看一下回忆录
333000	335000	习愿平写过一个回忆录
335000	337000	就专门回忆这段事情
337000	338000	就很多年后
338000	340000	习仲勋还记了这段事情
340000	342000	另外这个习仲勋
342000	343000	后来到了中央时
343000	344000	大家知道
344000	345000	82年的87年
345000	347000	他在中央书记处
347000	350000	相当于管主持书记处工作
350000	351000	相当于胡耀邦
351000	353000	下面的二把手
353000	355000	这个时候
355000	357000	毛志勇作为
357000	359000	胡南省的一把手
359000	361000	毛志勇如果往中央反应
361000	362000	大家知道
362000	363000	要么找中办
363000	364000	要么就找中央书记处
364000	366000	所以这两个
366000	367000	就是他们之间的
367000	369000	这个联系会非常多
369000	370000	当然这个时候
370000	371000	已经是上下级了
371000	372000	习仲勋可能是上级
372000	374000	那个谁是下级
374000	375000	这个联系
375000	376000	这种老朋友之间的联系
376000	378000	还是很多的
378000	379000	包括他们的家人
379000	382000	可能后边也联系非常多
382000	384000	然后习近平上台以后
384000	386000	就专门也见过
386000	387000	接见过好几次毛志勇
387000	388000	因为他是老革命
388000	389000	跟这些领导人
389000	391000	关系都很好
391000	392000	还有一个渊源
392000	394000	就在于习仲勋的秘书
394000	395000	大家知道
395000	397000	也就要曹志斌吧
397000	398000	曹志斌大家知道
398000	399000	跟了习仲勋之后
399000	401000	然后转岗的时候到哪里
401000	403000	就到楼底当书记
403000	405000	当楼底当市委书记
405000	406000	后来到
406000	407000	大家知道楼底
407000	408000	刚才说了
408000	409000	楼底大家熟不熟悉
409000	412000	楼底就是老义的老家
412000	416000	就是一练红的老家
416000	418000	然后曹志斌
418000	419000	楼底当了书记之后
419000	420000	又到湖南省
420000	422000	当省委副民主长
422000	424000	后来可能黑龙家
424000	426000	当时有一个岗位
426000	428000	把他调到黑龙家去说
428000	429000	有可能接政法委书记
429000	431000	但曹志斌就是没接上
431000	432000	后来不知怎么样
432000	433000	但是大家知道
433000	434000	他所离开习仲勋之后的
434000	435000	第一份工作就是
435000	437000	转岗到了湖南
437000	439000	而且很可能就是
439000	441000	毛志勇给他安排的
441000	442000	大家知道这个
442000	443000	两边的关系了吧
443000	445000	这种一般这种
445000	446000	父辈关系好的话
446000	448000	到儿子一辈
448000	450000	就会联系非常密切
450000	451000	特别像曹志斌后来
451000	452000	包括到现在
452000	453000	曹志斌到前几年
453000	454000	我记得还很活跃
454000	456000	试图上没有希望
456000	457000	没有解决父部之后
457000	459000	还私处当那个
459000	461000	就是给人当读懂
461000	462000	当顾问
462000	463000	当这个会长
463000	464000	那个会长还是
464000	466000	反正很活跃的
466000	467000	一个人曹志斌
467000	469000	然后其实在
469000	470000	一三年以前
470000	471000	你见大姐夫
471000	472000	跟他们认识非常容易的
472000	474000	所以也就这么
474000	477000	这个关系这么连接起来的
477000	479000	包括在沈阳的时候
479000	480000	那个谁
480000	481000	大姐夫他们有两人
481000	482000	也去找过他
482000	483000	然后在江西的时候
483000	484000	大家知道
484000	485000	大姐夫在当地
485000	486000	有很多矿嘛
486000	487000	无矿还有别的矿
487000	489000	都是在当地的
489000	491000	这个谁也没少帮忙
491000	492000	然后为什么
492000	493000	到浙江那让他
493000	496000	当时因为也是
496000	497000	一个是帮助他
497000	498000	激烈点资历
498000	500000	万一有机会冲击复国呢
500000	502000	另外帮那个王后
502000	504000	就是帮后边的这个人
504000	505000	占一下岗位
505000	507000	因为他马上也退休了
507000	508000	所以综合起来
